krs,name,hasc_2,bundesland,centr_lon,centr_lat,x_epsg5243,y_epsg5243,total_area_epsg5243
06440,Wetteraukreis,DE.HE.WT,Hessen,8.907656993240618,50.354776487980196,-113219.13755518613,-70478.90041008954,1098958029.021386
06531,Gießen,DE.HE.GE,Hessen,8.80751373199659,50.57027793457954,-119781.73848522868,-46383.435899868164,853895773.4832336
06532,Lahn-Dill-Kreis,DE.HE.LD,Hessen,8.365328261445018,50.64826876562476,-150802.44213300804,-36924.3245504084,1063253107.9189324
06533,Limburg-Weilburg,DE.HE.LW,Hessen,8.199437258534354,50.427470347580496,-163302.10559824258,-61084.699522173905,737830181.8746268
06534,Marburg-Biedenkopf,DE.HE.MB,Hessen,8.73804377814407,50.8368638489566,-123992.494596624,-16641.66464131231,1259737376.8508866
06535,Vogelsbergkreis,DE.HE.VG,Hessen,9.271379583519922,50.638119372583255,-86828.46064025114,-39507.394331354786,1455563162.5936038
06611,Kassel,DE.HE.KL,Hessen,9.460202977816648,51.31145473634454,-72430.56103185109,35129.131613368525,104274632.79887749
06631,Fulda,DE.HE.FL,Hessen,9.759139153140092,50.5638809540287,-52455.310741470574,-48221.05167148618,1379125583.1482713
06632,Hersfeld-Rotenburg,DE.HE.HR,Hessen,9.75293237952443,50.90618959813162,-52507.69139259715,-10166.686024350454,1095796794.1534915
06633,Kassel,DE.HE.KL,Hessen,9.40703897338677,51.40129612972988,-75998.35049175375,45143.00564815666,1292923669.5410118
06634,Schwalm-Eder-Kreis,DE.HE.SE,Hessen,9.373652370188843,51.023775845094626,-78967.48290465145,3229.3233399956584,1536580826.2415361
06635,Waldeck-Frankenberg,DE.HE.WF,Hessen,8.888884280463508,51.190687595958266,-112538.93067724926,22389.869275336125,1844375140.862383
06636,Werra-Meißner-Kreis,DE.HE.WM,Hessen,9.928906160833892,51.19075637334846,-39866.62455651688,21342.14292820207,1022569163.8209945
07111,Koblenz,DE.RP.KO,Rheinland-Pfalz,7.5795511561186695,50.34851604950004,-207637.00593754166,-68283.54215428486,105843930.51791498
07131,Ahrweiler,DE.RP.AR,Rheinland-Pfalz,7.0449765320030435,50.4675853575063,-245010.9887174313,-53417.11375729096,785590765.7750951
07132,Altenkirchen (Westerwald),DE.RP.AT,Rheinland-Pfalz,7.744125213506885,50.75074765989225,-194285.3525948319,-24063.47208784643,640059193.1897075
07133,Bad Kreuznach,DE.RP.BK,Rheinland-Pfalz,7.686665013874493,49.82482040526208,-202259.41386938523,-126747.38557466428,862917599.141785
07134,Birkenfeld,DE.RP.BR,Rheinland-Pfalz,7.277654658900667,49.712540407736455,-232188.93439261924,-138015.42866275363,776210230.4571955
07135,Cochem-Zell,DE.RP.CZ,Rheinland-Pfalz,7.1743199885904625,50.132880006623076,-237507.35297581696,-91009.9476658907,691959401.5189166
07137,Mayen-Koblenz,DE.RP.MK,Rheinland-Pfalz,7.332169443189098,50.33160788472189,-225295.88321329714,-69429.67139441485,815171604.5719676
07138,Neuwied,DE.RP.NU,Rheinland-Pfalz,7.469000627581352,50.55770057833544,-214530.28774930743,-44739.590068656136,626583184.7563778
07140,Rhein-Hunsrück-Kreis,DE.RP.RH,Rheinland-Pfalz,7.500099706244966,50.04420983795506,-214674.45309503458,-101864.58195792003,989729084.582614
07141,Rhein-Lahn-Kreis,DE.RP.RN,Rheinland-Pfalz,7.8427099553947945,50.26328169863242,-189285.46974353265,-78465.63477348645,780234593.6535027
07143,Westerwaldkreis,DE.RP.WS,Rheinland-Pfalz,7.865681375978124,50.55234935896922,-186502.4273468492,-46425.00401031159,988473236.627911
07211,Trier,DE.RP.TI,Rheinland-Pfalz,6.65505099520119,49.762938825044664,-276717.5444478857,-130257.5118572331,115933773.20772132
07231,Bernkastel-Wittlich,DE.RP.BW,Rheinland-Pfalz,6.967218591629674,49.92464517071836,-253387.90056642567,-113445.77980392004,1167404409.4292848
07232,Eifelkreis Bitburg-Prüm,DE.RP.EB,Rheinland-Pfalz,6.410129969414522,50.062159767749044,-292466.120565294,-96123.42708341406,1625391458.599483
07233,Vulkaneifel,DE.RP.VL,Rheinland-Pfalz,6.748653731612101,50.238335890360425,-267280.57834605756,-77835.36723095225,910151276.5331599
07235,Trier-Saarburg,DE.RP.TS,Rheinland-Pfalz,6.69519560909636,49.69647114113448,-274221.35678060865,-137793.4575690294,1103317756.4666128
07311,Frankenthal (Pfalz),DE.RP.FA,Rheinland-Pfalz,8.35688391287885,49.53306406329831,-155031.29931765483,-160785.23192578286,43731971.39876128
07312,Kaiserslautern,DE.RP.KL,Rheinland-Pfalz,7.760674819840365,49.43285256042546,-198554.92301441167,-170484.86062044147,140091029.10776865
07313,Landau in der Pfalz,DE.RP.LP,Rheinland-Pfalz,8.050600710377843,49.224493824057504,-178309.0453167957,-194377.20371467434,82996085.13709104
07314,Ludwigshafen am Rhein,DE.RP.LR,Rheinland-Pfalz,8.396844582354788,49.48208769940621,-152301.979129859,-166533.33376475482,77761306.81988528
07315,Mainz,DE.RP.MI,Rheinland-Pfalz,8.241497061535242,49.974186493836214,-161867.24009549717,-111526.46238034352,97519673.1523039
07316,Neustadt an der Weinstraße,DE.RP.NW,Rheinland-Pfalz,8.152287799984691,49.34187585824836,-170502.45114292784,-181573.89386334262,117219280.78296264
07317,Pirmasens,DE.RP.PR,Rheinland-Pfalz,7.594363126740894,49.19712714109418,-211640.04735688164,-196206.83569131754,61416650.540180646
07318,Speyer,DE.RP.SE,Rheinland-Pfalz,8.435019647864685,49.32971825232933,-150013.3085980484,-183542.92591072255,42767262.37601176
07319,Worms,DE.RP.WR,Rheinland-Pfalz,8.324528690543412,49.64944561300139,-156989.38175798117,-147786.936788205,108646288.21132433
07320,Zweibrücken,DE.RP.ZE,Rheinland-Pfalz,7.365393912059995,49.248160773387816,-228067.6838315784,-189854.26846801024,70818141.24315003
07331,Alzey-Worms,DE.RP.AW,Rheinland-Pfalz,8.157184962252336,49.759441374646926,-168663.38366348093,-135195.04484846417,587241688.6499346
07332,Bad Dürkheim,DE.RP.BD,Rheinland-Pfalz,8.110304949154365,49.453020598018846,-173161.6804085484,-169135.60699257927,593414405.7899067
07333,Donnersbergkreis,DE.RP.DN,Rheinland-Pfalz,7.915011270191681,49.63198305232825,-186591.9764255177,-148770.82773916383,643874380.3377835
07334,Germersheim,DE.RP.GR,Rheinland-Pfalz,8.246193795179321,49.1159081511182,-164469.91380216632,-206911.7307011622,463092243.31255835
07335,Kaiserslautern,DE.RP.KL,Rheinland-Pfalz,7.684981554307944,49.446222335729814,-203988.39684227435,-168790.76999514794,640060615.2200105
07336,Kusel,DE.RP.KU,Rheinland-Pfalz,7.471320218331203,49.54981078436124,-219002.23621687634,-156679.8594135796,572423974.6034768
07337,Südliche Weinstraße,DE.RP.SW,Rheinland-Pfalz,8.048076061213491,49.190382409922194,-178636.92089965782,-198170.14348432297,638941783.9773463
07338,Rhein-Pfalz-Kreis,DE.RP.RZ,Rheinland-Pfalz,8.360681199531475,49.416650004070235,-155126.5833473251,-173744.70071601178,304301731.23077834
07339,Mainz-Bingen,DE.RP.MB,Rheinland-Pfalz,8.079648641438165,49.92201391634691,-173625.95658101223,-116947.33338689595,604645650.5571995
07340,Südwestpfalz,DE.RP.SD,Rheinland-Pfalz,7.658867223170159,49.20827473381441,-206885.20673315803,-195158.9545690085,953658992.0485321
