,IdBundesland,Bundesland,Landkreis,Altersgruppe,Geschlecht,AnzahlFall,AnzahlTodesfall,ObjectId,Meldedatum,IdLandkreis,Datenstand
99,1,Schleswig-Holstein,LK Nordfriesland,A35-A59,M,1,0,163499,2020-03-19 00:00:00+00:00,1054,2020-03-22
100,1,Schleswig-Holstein,LK Nordfriesland,A35-A59,M,1,0,163500,2020-03-21 00:00:00+00:00,1054,2020-03-22
101,1,Schleswig-Holstein,LK Nordfriesland,A35-A59,W,2,0,163501,2020-03-17 00:00:00+00:00,1054,2020-03-22
102,1,Schleswig-Holstein,LK Nordfriesland,A35-A59,W,1,0,163502,2020-03-20 00:00:00+00:00,1054,2020-03-22
103,1,Schleswig-Holstein,LK Nordfriesland,A35-A59,W,1,0,163503,2020-03-21 00:00:00+00:00,1054,2020-03-22
104,1,Schleswig-Holstein,LK Nordfriesland,A60-A79,W,1,0,163504,2020-03-20 00:00:00+00:00,1054,2020-03-22
105,1,Schleswig-Holstein,LK Nordfriesland,unbekannt,W,1,0,163505,2020-03-19 00:00:00+00:00,1054,2020-03-22
106,1,Schleswig-Holstein,LK Ostholstein,A00-A04,M,1,0,163506,2020-03-19 00:00:00+00:00,1055,2020-03-22
107,1,Schleswig-Holstein,LK Ostholstein,A35-A59,M,1,0,163507,2020-03-10 00:00:00+00:00,1055,2020-03-22
108,1,Schleswig-Holstein,LK Ostholstein,A35-A59,M,2,0,163508,2020-03-15 00:00:00+00:00,1055,2020-03-22
109,1,Schleswig-Holstein,LK Ostholstein,A35-A59,M,1,0,163509,2020-03-16 00:00:00+00:00,1055,2020-03-22
110,1,Schleswig-Holstein,LK Ostholstein,A35-A59,M,1,0,163510,2020-03-18 00:00:00+00:00,1055,2020-03-22
111,1,Schleswig-Holstein,LK Ostholstein,A35-A59,M,2,0,163511,2020-03-19 00:00:00+00:00,1055,2020-03-22
112,1,Schleswig-Holstein,LK Ostholstein,A35-A59,W,1,0,163512,2020-03-18 00:00:00+00:00,1055,2020-03-22
113,1,Schleswig-Holstein,LK Ostholstein,A35-A59,W,1,0,163513,2020-03-19 00:00:00+00:00,1055,2020-03-22
114,1,Schleswig-Holstein,LK Ostholstein,A60-A79,M,1,0,163514,2020-03-21 00:00:00+00:00,1055,2020-03-22
115,1,Schleswig-Holstein,LK Ostholstein,A60-A79,W,1,0,163515,2020-03-19 00:00:00+00:00,1055,2020-03-22
116,1,Schleswig-Holstein,LK Pinneberg,A05-A14,W,1,0,163516,2020-03-13 00:00:00+00:00,1056,2020-03-22
117,1,Schleswig-Holstein,LK Pinneberg,A15-A34,M,1,0,163517,2020-03-14 00:00:00+00:00,1056,2020-03-22
118,1,Schleswig-Holstein,LK Pinneberg,A15-A34,M,1,0,163518,2020-03-17 00:00:00+00:00,1056,2020-03-22
119,1,Schleswig-Holstein,LK Pinneberg,A15-A34,M,1,0,163519,2020-03-18 00:00:00+00:00,1056,2020-03-22
120,1,Schleswig-Holstein,LK Pinneberg,A15-A34,M,2,0,163520,2020-03-19 00:00:00+00:00,1056,2020-03-22
121,1,Schleswig-Holstein,LK Pinneberg,A15-A34,M,2,0,163521,2020-03-20 00:00:00+00:00,1056,2020-03-22
122,1,Schleswig-Holstein,LK Pinneberg,A15-A34,M,1,0,163522,2020-03-21 00:00:00+00:00,1056,2020-03-22
123,1,Schleswig-Holstein,LK Pinneberg,A15-A34,W,1,0,163523,2020-03-09 00:00:00+00:00,1056,2020-03-22
124,1,Schleswig-Holstein,LK Pinneberg,A15-A34,W,1,0,163524,2020-03-12 00:00:00+00:00,1056,2020-03-22
125,1,Schleswig-Holstein,LK Pinneberg,A15-A34,W,1,0,163525,2020-03-14 00:00:00+00:00,1056,2020-03-22
126,1,Schleswig-Holstein,LK Pinneberg,A15-A34,W,1,0,163526,2020-03-17 00:00:00+00:00,1056,2020-03-22
127,1,Schleswig-Holstein,LK Pinneberg,A15-A34,W,2,0,163527,2020-03-19 00:00:00+00:00,1056,2020-03-22
128,1,Schleswig-Holstein,LK Pinneberg,A15-A34,W,1,0,163528,2020-03-20 00:00:00+00:00,1056,2020-03-22
129,1,Schleswig-Holstein,LK Pinneberg,A15-A34,W,1,0,163529,2020-03-21 00:00:00+00:00,1056,2020-03-22
130,1,Schleswig-Holstein,LK Pinneberg,A35-A59,M,1,0,163530,2020-03-03 00:00:00+00:00,1056,2020-03-22
131,1,Schleswig-Holstein,LK Pinneberg,A35-A59,M,1,0,163531,2020-03-11 00:00:00+00:00,1056,2020-03-22
132,1,Schleswig-Holstein,LK Pinneberg,A35-A59,M,1,0,163532,2020-03-12 00:00:00+00:00,1056,2020-03-22
133,1,Schleswig-Holstein,LK Pinneberg,A35-A59,M,3,0,163533,2020-03-13 00:00:00+00:00,1056,2020-03-22
134,1,Schleswig-Holstein,LK Pinneberg,A35-A59,M,3,0,163534,2020-03-14 00:00:00+00:00,1056,2020-03-22
